"Model","Uniformity_p","Dispersion_p","Outlier_p"
"M1ok",0.115,0.972,1
"M1ak",0.791,0.912,1
"M1bk",0.453,0.81,1
"M1oc",0.504,0.7,1
"M1ac",0.646,0.966,1
"M1bc",0.546,0.406,1
"M2ak",0.326,0.736,1
"M2bk",0.633,0.72,1
"M2ac",0.575,0.222,1
"M2bc",0.4,0.186,1
"M3ak",0.856,0.626,1
"M3bk",0.972,0.602,1
"M3ac",0.439,0.342,1
"M3bc",0.58,0.26,1
