"site_id","Monitoring_label","Total_Individuals_Bullies","Total_Individuals_Catfish","Total_Individuals_Common_smelt","Total_Individuals_Eel","Total_Individuals_Goldfish","Total_Individuals_Kōaro","Total_Individuals_Kōura","Total_Individuals_Mosquitofish","Total_Individuals_Trout"
"19","1 Autumn",6,1,10,0,2,82,42,0,0
"19","2 Winter",1,0,0,0,0,81,24,0,0
"19","3 Spring",1,0,0,0,3,0,17,0,0
"19","4 Summer",12,0,2,0,3,0,9,0,0
"19","5 Autumn",9,0,0,0,0,8,30,0,0
"20","0 Pre/Summer",15,0,20,0,2,1,26,0,0
"20","1 Autumn",11,0,0,0,0,211,69,0,0
"20","2 Winter",0,0,0,0,0,8,12,0,0
"20","3 Spring",3,0,0,0,0,1,45,0,0
"20","4 Summer",2,0,5,0,0,0,33,0,0
"20","5 Autumn",14,0,40,0,0,23,34,0,0
