"site_id","monitoring","monitoring_id","lake","site","LID","lat","lon","site_size","DHT","date_time","weather","lake_water_clarity_m","sediment_sample","macrophyte_sample","notes","Bottom_visible","Distance_5m","Distance_20m","Riparian_vegetation","Riparian_species","Overhanging_trees","Erosion","Structure","Bedrock","Boulders","Cobble","Gravel","Sand","Mud","Organic_matter","Vegetation_nearby","Vegetation_species","Wood_cover","Temperature","DO_mgl","DO_percent","Conductivity","Specific_conductivity","pH","pH1","Emergent_Native","Emergent_Non_Native","Submerged_Non_Native","Turf_Native","Shape.1","Distance_to_shore.1","Length.1","Width.1","Area.1","Weight.1","Depth_on_R.1","Depth_on_L.1","Height_above.1","Depth_after.1","Volume.1","Sedimentation.1","Accumulation_of_weeds.1","Shape.2","Distance_to_shore.2","Length.2","Width.2","Area.2","Weight.2","Depth_on_R.2","Depth_on_L.2","Height_above.2","Depth_after.2","Volume.2","Sedimentation.2","Accumulation_of_weeds.2","Shape.3","Distance_to_shore.3","Length.3","Width.3","Area.3","Weight.3","Depth_on_R.3","Depth_on_L.3","Height_above.3","Depth_after.3","Volume.3","Sedimentation.3","Accumulation_of_weeds.3","Total_Individuals_Kōura","Total_Individuals_Bullies","Total_Individuals_Common_smelt","Total_Individuals_Goldfish","Total_Individuals_Eel","Total_Individuals_Kōaro","Total_Individuals_Catfish","Total_Individuals_Trout","Total_Individuals_Mosquitofish","Weighted_CPUE_Kōura","Weighted_CPUE_Bullies","Weighted_CPUE_Common_smelt","Weighted_CPUE_Goldfish","Weighted_CPUE_Eel","Weighted_CPUE_Kōaro","Weighted_CPUE_Catfish","Weighted_CPUE_Trout","Weighted_CPUE_Mosquitofish","Weighted_BPUE_Kōura","Weighted_BPUE_Bullies","Weighted_BPUE_Common_smelt","Weighted_BPUE_Goldfish","Weighted_BPUE_Eel","Weighted_BPUE_Kōaro","Weighted_BPUE_Catfish","Weighted_BPUE_Trout","Weighted_BPUE_Mosquitofish","Total_Weight_Kōura","Total_Weight_Bullies","Total_Weight_Common_smelt","Total_Weight_Goldfish","Total_Weight_Eel","Total_Weight_Kōaro","Total_Weight_Catfish","Total_Weight_Trout","Total_Weight_Mosquitofish","Mean_Length_Kōura","Mean_Length_Bullies","Mean_Length_Common_smelt","Mean_Length_Goldfish","Mean_Length_Eel","Mean_Length_Kōaro","Mean_Length_Catfish","Mean_Length_Trout","Mean_Length_Mosquitofish","Mean_Weight_Kōura","Mean_Weight_Bullies","Mean_Weight_Common_smelt","Mean_Weight_Goldfish","Mean_Weight_Eel","Mean_Weight_Kōaro","Mean_Weight_Catfish","Mean_Weight_Trout","Mean_Weight_Mosquitofish","Weighted_CPUE_numerator_Kōura","Weighted_CPUE_numerator_Bullies","Weighted_CPUE_numerator_Common_smelt","Weighted_CPUE_numerator_Goldfish","Weighted_CPUE_numerator_Eel","Weighted_CPUE_numerator_Kōaro","Weighted_CPUE_numerator_Catfish","Weighted_CPUE_numerator_Trout","Weighted_CPUE_numerator_Mosquitofish","Weighted_BPUE_numerator_Kōura","Weighted_BPUE_numerator_Bullies","Weighted_BPUE_numerator_Common_smelt","Weighted_BPUE_numerator_Goldfish","Weighted_BPUE_numerator_Eel","Weighted_BPUE_numerator_Kōaro","Weighted_BPUE_numerator_Catfish","Weighted_BPUE_numerator_Trout","Weighted_BPUE_numerator_Mosquitofish","Total_Effort_sum_Kōura","Total_Effort_sum_Bullies","Total_Effort_sum_Common_smelt","Total_Effort_sum_Goldfish","Total_Effort_sum_Eel","Total_Effort_sum_Kōaro","Total_Effort_sum_Catfish","Total_Effort_sum_Trout","Total_Effort_sum_Mosquitofish","Min_Length_Kōura","Min_Length_Bullies","Min_Length_Common_smelt","Min_Length_Goldfish","Min_Length_Eel","Min_Length_Kōaro","Min_Length_Catfish","Min_Length_Trout","Min_Length_Mosquitofish","Max_Length_Kōura","Max_Length_Bullies","Max_Length_Common_smelt","Max_Length_Goldfish","Max_Length_Eel","Max_Length_Kōaro","Max_Length_Catfish","Max_Length_Trout","Max_Length_Mosquitofish","Min_Weight_Kōura","Min_Weight_Bullies","Min_Weight_Common_smelt","Min_Weight_Goldfish","Min_Weight_Eel","Min_Weight_Kōaro","Min_Weight_Catfish","Min_Weight_Trout","Min_Weight_Mosquitofish","Max_Weight_Kōura","Max_Weight_Bullies","Max_Weight_Common_smelt","Max_Weight_Goldfish","Max_Weight_Eel","Max_Weight_Kōaro","Max_Weight_Catfish","Max_Weight_Trout","Max_Weight_Mosquitofish","Richness","Abundance","Presence_Bullies","Presence_Eel","Presence_Goldfish","Presence_Common_smelt","Presence_Kōaro","Presence_Kōura","Presence_Mosquitofish","Presence_Catfish","Presence_Trout","Predator_Fish_Presence","Dragonfly larvae Small","Caddisfly larvae","Diving beatle","Invertebrates_Richness","Invertebrates_Abundance","Presence_rocks","Period","Date","Time","Year","Month","Day","Season","Date_Time_Numeric","Monitoring_label","Depth_5m","Depth_20m","Slope_0_5m","Slope_0_20m","Habitat_Type","Substrate_index_before","monitoring_int","pair_id","koura_present","Substrate_index_after","lunar_phase","lunar_illumination","lunar_name","monitoring_quality"
"11",0,"11_0","Rotoiti","Reference",54730,-38.0276056022708,176.40494378912,150,"Rocky",2025-02-06 14:46:00,"Sunny",3.5,1,1,"Right, Cliff as shore","1","38.942244562325001","121.850769016352",0,"0",0,0,0,0,90,0,0,10,0,0,0,NA,0,24.4,11.18,133.9,156.9,158.902167308082,9.18,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,22,50,11,0,0,1,0,0,0,5.5,12.5,2.75,0,0,0.25,0,0,0,370,14.25,78,0,0,8.75,0,0,NA,1480,57,312,NA,NA,35,NA,NA,NA,NA,NA,100.363636363636,NA,NA,133,NA,NA,NA,251.333333333333,57,28.3636363636364,NA,NA,35,NA,NA,NA,22,50,11,NA,NA,1,NA,NA,NA,1480,57,312,NA,NA,35,NA,NA,NA,4,4,4,NA,NA,4,NA,NA,NA,NA,NA,80,NA,NA,133,NA,NA,NA,NA,NA,125,NA,NA,133,NA,NA,NA,14,57,15,NA,NA,35,NA,NA,NA,577,57,48,NA,NA,35,NA,NA,4,12,1,0,1,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,1,"Before",2025-02-06,"14:46:00",2025,"Feb",6,"Summer",1738806360,"0 Pre/Summer",38.942244562325,121.850769016352,0.128395269871971,0.164135197187931,"Rocky",6.6,0,"6",0,6.6,1.7909711663368,0.609200122603733,"Waxing","complete"
"12",0,"12_0","Rotoiti","Reference",54730,-38.027783,176.4042814,150,"Rocky",2025-02-06 15:10:00,"Sunny",3.5,1,1,"Left, Cliff as shore","1","70.918634145760194","162.05012479636801",100,"Native forest",100,0,0,0,20,80,0,0,0,0,0,NA,0,25.4,10.88,136.4,161.1,159.758032526775,9.14,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,20,21,0,0,1,0,0,0,2,5,5.25,0,0,0.25,0,0,0,694.5,6.25,222.5,0,0,6.75,0,0,NA,2778,25,890,NA,NA,27,NA,NA,NA,NA,NA,107.333333333333,NA,NA,130,NA,NA,NA,279.8,25,42.3809523809524,NA,NA,27,NA,NA,NA,8,20,21,NA,NA,1,NA,NA,NA,2778,25,890,NA,NA,27,NA,NA,NA,4,4,4,NA,NA,4,NA,NA,NA,NA,NA,71,NA,NA,130,NA,NA,NA,NA,NA,180,NA,NA,130,NA,NA,NA,5,25,9,NA,NA,27,NA,NA,NA,628,25,148,NA,NA,27,NA,NA,4,22,1,0,1,1,0,0,0,1,0,1,0,1,0,1,1,1,"Before",2025-02-06,"15:10:00",2025,"Feb",6,"Summer",1738807800,"0 Pre/Summer",70.9186341457602,162.050124796368,0.0705033318848671,0.123418602886804,"Rocky",6.2,0,"6",0,6.2,1.7909711663368,0.609200122603733,"Waxing","complete"
"13",0,"13_0","Rotoiti","Reference",54730,-38.0401949,176.3586787,150,"Sandy",2025-02-06 11:15:00,"Sunny",3,1,1,"Right","1","63.335015819361701","218.54441100186699",100,"Native forest",100,0,0,10,0,0,10,80,0,0,0,NA,0,24.3,9.39,112.1,177.9,180.554145945397,7.57,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0,1,0,0,0,0,0,0,0.75,0,0.25,0,0,0,0,0,0,637,0,5.5,0,0,0,0,0,NA,2548,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,424.666666666667,NA,22,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,2548,NA,22,NA,NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,55,NA,22,NA,NA,NA,NA,NA,NA,619,NA,22,NA,NA,NA,NA,NA,2,1,1,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,"Before",2025-02-05,"11:15:00",2025,"Feb",6,"Summer",1738793700,"0 Pre/Summer",63.3350158193617,218.544411001867,0.0789452711950138,0.0915145800723732,"Sandy",3.6,0,"7",0,3.6,1.57820245595133,0.503703030725666,"Waxing","complete"
"14",0,"14_0","Rotoiti","Reference",54730,-38.0398114,176.3581623,150,"Sandy",2025-02-06 11:00:00,"Sunny",3,1,1,"Left, 1 net big hole","1","59.880478669367001","183.12960987940701",100,"Native forest",100,0,0,10,0,0,0,90,0,0,0,NA,0,24.3,9.39,112.1,177.9,180.554145945397,7.52,NA,0,0,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,0,0,0,0,0,0,0.25,0.75,0,0,0,0,0,0,0,8.75,379.5,0,0,0,0,0,0,0,35,1518,NA,NA,NA,NA,NA,NA,NA,37.11,NA,NA,NA,NA,NA,NA,NA,NA,35,506,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,35,1518,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,37.11,NA,NA,NA,NA,NA,NA,NA,NA,37.11,NA,NA,NA,NA,NA,NA,NA,NA,35,392,NA,NA,NA,NA,NA,NA,NA,35,578,NA,NA,NA,NA,NA,NA,NA,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,"Before",2025-02-05,"11:00:00",2025,"Feb",6,"Summer",1738792800,"0 Pre/Summer",59.880478669367,183.129609879407,0.083499666520833,0.109212267820426,"Sandy",3.5,0,"7",1,3.5,1.57820245595133,0.503703030725666,"Waxing","complete"
"15",0,"15_0","Rotoiti","Reference",54730,-38.0354320054637,176.345087343881,150,"Rocky",2025-02-06 10:00:00,"Sunny",3,1,1,"Left","1","57.9411293181277","639.03395274642901",100,"Native forest",100,0,0,50,0,0,0,20,0,30,1,"Hornwort",6,23.2,8.99,105.3,160.9,167.220951985034,8.23,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,1,10,16,0,1,0,0,0,4.25,0.25,2.5,4,0,0.25,0,0,0,73.5,179.25,0,195.75,0,1.75,0,0,0,294,717,0,783,NA,7,NA,NA,NA,27.33,NA,NA,109.125,NA,100,NA,NA,NA,17.2941176470588,358.5,NA,48.9375,NA,7,NA,NA,NA,17,1,10,16,NA,1,NA,NA,NA,294,717,0,783,NA,7,NA,NA,NA,4,4,4,4,NA,4,NA,NA,NA,20.75,NA,NA,72,NA,100,NA,NA,NA,36.22,NA,NA,182,NA,100,NA,NA,NA,5,349,NA,10,NA,7,NA,NA,NA,38,368,NA,175,NA,7,NA,NA,NA,5,34,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,"Before",2025-02-05,"10:00:00",2025,"Feb",6,"Summer",1738789200,"0 Pre/Summer",57.9411293181277,639.033952746429,0.0862944864700053,0.0312972415848084,"Rocky",5.2,0,"8",1,5.2,1.57820245595133,0.503703030725666,"Waxing","complete"
"16",0,"16_0","Rotoiti","Reference",54730,-38.035946522854,176.345727107707,150,"Rocky",2025-02-06 10:15:00,"Sunny",3,1,1,"Right","1","27.586278169075001","565.61863728637502",100,"Native forest",100,0,0,50,0,0,0,20,0,30,0,NA,2,23.4,9.08,106.7,160.5,166.080298013245,8.1,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,6,0,0,0,0,1,0,0.333333333333333,0.666666666666667,2,0,0,0,0,0.333333333333333,0,11.6666666666667,37,1.33333333333333,0,0,0,0,3.66666666666667,0,35,111,4,NA,NA,NA,NA,11,NA,36.99,NA,NA,NA,NA,NA,NA,97,NA,35,111,4,NA,NA,NA,NA,11,NA,1,2,6,NA,NA,NA,NA,1,NA,35,111,4,NA,NA,NA,NA,11,NA,3,3,3,NA,NA,NA,NA,3,NA,36.99,NA,NA,NA,NA,NA,NA,97,NA,36.99,NA,NA,NA,NA,NA,NA,97,NA,35,111,4,NA,NA,NA,NA,11,NA,35,111,4,NA,NA,NA,NA,11,NA,4,2,1,0,0,1,0,1,0,0,1,1,3,0,0,1,3,0,"Before",2025-02-05,"10:15:00",2025,"Feb",6,"Summer",1738790100,"0 Pre/Summer",27.586278169075,565.618637286375,0.181249531718459,0.0353595137811449,"Rocky",5.2,0,"8",1,5.2,1.57820245595133,0.503703030725666,"Waxing","complete"
"17",0,"17_0","Rotoiti","Reference",54730,-38.0174132,176.3755268,150,"Rocky",2025-02-06 13:09:00,"Sunny",3.5,1,1,"Left","1","13.9155980353024","411.55710413086803",100,"Native forest",100,0,0,0,50,0,0,50,0,0,0,NA,30,25.3,9.66,116.8,159.8,158.799562754646,8.52,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,3,0,8,0,0,6,0,0,3,0.75,0,2,0,0,1.5,0,0,55,265.25,0,119.75,0,0,725,0,0,220,1061,NA,479,NA,NA,2900,NA,NA,27.1233333333333,NA,NA,122.75,NA,NA,324.166666666667,NA,NA,18.3333333333333,353.666666666667,NA,59.875,NA,NA,483.333333333333,NA,NA,12,3,NA,8,NA,NA,6,NA,NA,220,1061,NA,479,NA,NA,2900,NA,NA,4,4,NA,4,NA,NA,4,NA,NA,16.95,NA,NA,90,NA,NA,273,NA,NA,42.13,NA,NA,190,NA,NA,351,NA,NA,5,269,NA,17,NA,NA,300,NA,NA,50,456,NA,166,NA,NA,600,NA,NA,4,26,1,0,1,0,0,1,0,1,0,1,NA,NA,NA,NA,NA,1,"Before",2025-02-06,"13:09:00",2025,"Feb",6,"Summer",1738800540,"0 Pre/Summer",13.9155980353024,411.557104130868,0.359309027705136,0.0485959294573138,"Rocky",5,0,"9",1,5,1.7909711663368,0.609200122603733,"Waxing","complete"
"18",0,"18_0","Rotoiti","Reference",54730,-38.0172588,176.3757789,150,"Rocky",2025-02-06 13:30:00,"Sunny",3.5,1,1,"Right","1","10.2582815366794","393.99543134125298",100,"Native forest",100,0,0,0,80,0,0,20,0,0,0,NA,7,25.4,9.86,120.1,161.2,159.857199523998,8.67,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,8,3,6,0,0,4,0,0,3.75,2,0.75,1.5,0,0,1,0,0,58.5,172,0,107.25,0,0,232.25,0,0,234,688,0,429,NA,NA,929,NA,NA,26.0525,NA,NA,122.5,NA,NA,226.5,NA,NA,19.625,173,NA,71.5,NA,NA,232.25,NA,NA,15,8,3,6,NA,NA,4,NA,NA,234,688,0,429,NA,NA,929,NA,NA,4,4,4,4,NA,NA,4,NA,NA,16.05,NA,NA,67,NA,NA,170,NA,NA,36.82,NA,NA,179,NA,NA,365,NA,NA,4,4,NA,7,NA,NA,60,NA,NA,50,344,NA,150,NA,NA,700,NA,NA,5,25,1,0,1,1,0,1,0,1,0,1,NA,NA,NA,NA,NA,1,"Before",2025-02-06,"13:30:00",2025,"Feb",6,"Summer",1738801800,"0 Pre/Summer",10.2582815366794,393.995431341253,0.487411071934617,0.0507620099347734,"Rocky",6.2,0,"9",1,6.2,1.7909711663368,0.609200122603733,"Waxing","complete"
"19",0,"19_0","Rotoiti","Reference",54730,-38.01677,176.421,150,"Rocky",2025-02-06 15:20:00,"Sunny",3.5,1,1,"Right","1","142.69564315661299","187.90193049333001",100,"Native forest",100,0,0,0,0,90,0,10,0,0,1,"Hornwort",4,24.2,10.95,132,160.5,163.242473555736,9.34,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,9,5,3,0,1,0,0,0,3.25,2.25,1.25,0.75,0,0.25,0,0,0,58.75,385,0,20,0,3.75,0,0,0,235,1540,0,80,NA,15,NA,NA,NA,28.761,NA,NA,101.666666666667,NA,115,NA,NA,NA,18.5125,259,NA,26.6666666666667,NA,15,NA,NA,NA,13,9,5,3,NA,1,NA,NA,NA,235,1540,0,80,NA,15,NA,NA,NA,4,4,4,4,NA,4,NA,NA,NA,13.95,NA,NA,95,NA,115,NA,NA,NA,35.65,NA,NA,115,NA,115,NA,NA,NA,1,7,NA,21,NA,15,NA,NA,NA,30,617,NA,38,NA,15,NA,NA,NA,5,17,1,0,1,1,1,1,0,0,0,0,NA,NA,NA,NA,NA,1,"Before",2025-02-06,"15:20:00",2025,"Feb",6,"Summer",1738808400,"0 Pre/Summer",142.695643156613,187.90193049333,0.0350396122081481,0.106438501975422,"Rocky",5.7,0,"10",1,5.7,1.7909711663368,0.609200122603733,"Waxing","complete"
"20",0,"20_0","Rotoiti","Reference",54730,-38.0170202210521,176.420489675691,150,"Rocky",2025-02-06 15:40:00,"Sunny",3.5,1,1,"Left","1","112.65205053481201","153.52894194799001",100,"Native forest",100,0,0,0,0,90,0,10,0,0,1,"Hornwort",0,24.9,10.9,131.4,159.2,159.535023549454,9.07,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,15,20,2,0,1,0,0,0,6.5,3.75,5,0.5,0,0.25,0,0,0,100.75,619,0,19,0,1.5,0,0,0,403,2476,0,76,NA,6,NA,NA,NA,29.4823863636364,NA,NA,111.5,NA,95,NA,NA,NA,18.9772727272727,253.6,NA,38,NA,6,NA,NA,NA,26,15,20,2,NA,1,NA,NA,NA,403,2476,0,76,NA,6,NA,NA,NA,4,4,4,4,NA,4,NA,NA,NA,12.53,NA,NA,110,NA,95,NA,NA,NA,40.79,NA,NA,113,NA,95,NA,NA,NA,1,15,NA,36,NA,6,NA,NA,NA,40,587,NA,40,NA,6,NA,NA,NA,5,29,1,0,1,1,1,1,0,0,0,0,4,0,0,1,4,1,"Before",2025-02-06,"15:40:00",2025,"Feb",6,"Summer",1738809600,"0 Pre/Summer",112.652050534812,153.52894194799,0.0443844561751221,0.130268597869809,"Rocky",5.7,0,"10",1,5.7,1.7909711663368,0.609200122603733,"Waxing","complete"
"1",1,"1_1","Rotoiti","Stone_pile",54730,-38.0526673079263,176.47144524762,150,"Rocky",2025-04-28 13:00:00,"Cloudy",5,0,0,NA,"1","82.9889020904982","164.45001973472199",0,NA,10,100,0,0,30,30,10,30,0,0,0,NA,0,17.9,10.18,107.2,129,151.604183805383,7.42,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,15,40,1,0,42,0,0,0,3,3.75,10,0.25,0,10.5,0,0,0,51.75,683.75,0,2.25,0,80.25,0,0,0,207,2735,0,9,NA,321,NA,NA,NA,27.8636363636364,NA,NA,100,NA,80.5487804878049,NA,NA,NA,22.1363636363636,233.333333333333,NA,9,NA,5.3780487804878,NA,NA,NA,12,15,40,1,NA,42,NA,NA,NA,207,2735,0,9,NA,321,NA,NA,NA,4,4,4,4,NA,4,NA,NA,NA,20,NA,NA,100,NA,50,NA,NA,NA,35,NA,NA,100,NA,150,NA,NA,NA,6,13,NA,9,NA,1,NA,NA,NA,42,675,NA,9,NA,26,NA,NA,NA,5,55,1,0,1,1,1,1,0,0,0,0,NA,NA,NA,NA,NA,1,"After",2025-04-28,"13:00:00",2025,"Apr",28,"Autumn",1745802000,"1 Autumn",82.9889020904982,164.450019734722,0.0602490197369712,0.121617498327227,"Rocky",5.2,1,"1",1,5.55797333333333,0.175680786030261,0.00769610983457364,"New","complete"
"2",1,"2_1","Rotoiti","Control",54730,-38.0529135570371,176.470933127575,150,"Rocky",2025-04-28 12:30:00,"Cloudy",5,0,0,NA,"1","105.445519540936","180.302636624781",70,"Flax",0,0,0,0,20,20,0,60,0,0,0,NA,0,17.6,10.01,104.8,128.5,152.143026284632,7.36,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,17,0,1,0,31,0,0,0,5.25,4.25,0,0.25,0,7.75,0,0,0,114.25,779.25,0,21.25,0,58.25,0,0,0,457,3117,NA,85,NA,233,NA,NA,NA,28.9047619047619,NA,NA,145,NA,97.5806451612903,NA,NA,NA,21.7619047619048,229.928571428571,NA,85,NA,7.51612903225806,NA,NA,NA,21,17,NA,1,NA,31,NA,NA,NA,457,3117,NA,85,NA,233,NA,NA,NA,4,4,NA,4,NA,4,NA,NA,NA,21,NA,NA,145,NA,70,NA,NA,NA,40,NA,NA,145,NA,120,NA,NA,NA,7,17,NA,85,NA,2,NA,NA,NA,53,557,NA,85,NA,15,NA,NA,NA,4,53,1,0,1,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,1,"After",2025-04-28,"12:30:00",2025,"Apr",28,"Autumn",1745800200,"1 Autumn",105.445519540936,180.302636624781,0.047417851623927,0.110924611943535,"Rocky",4.4,1,"1",1,4.4,0.175680786030261,0.00769610983457364,"New","complete"
"3",1,"3_1","Rotoiti","Stone_pile",54730,-38.047698100528,176.341122568488,150,"Sandy",2025-04-28 10:50:00,"Cloudy",5,0,0,NA,"1","75.103042747696705","1429.22107248619",100,"grass",0,0,0,0,0,0,0,100,0,0,1,"Three-leaved milfoil",0,17.9,10.36,109.3,142,166.882124809026,7.49,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,0,0,0,5,0,0,0,0,1,0,0,0,1.25,0,0,0,0,333,0,0,0,4.5,0,0,0,NA,1332,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,62.6,NA,NA,NA,NA,266.4,NA,NA,NA,3.6,NA,NA,NA,NA,4,NA,NA,NA,5,NA,NA,NA,NA,1332,NA,NA,NA,18,NA,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,50,NA,NA,NA,1,NA,NA,NA,NA,499,NA,NA,NA,7,NA,NA,NA,2,5,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,"After",2025-04-27,"10:50:00",2025,"Apr",28,"Autumn",1745794200,"1 Autumn",75.1030427476967,1429.22107248619,0.0665751987811884,0.0139936363834947,"Sandy",3,1,"2",0,3.22144,6.24609738282403,0.00034383911757635,"New","complete"
"4",1,"4_1","Rotoiti","Control",54730,-38.0480187161085,176.341484639114,150,"Sandy",2025-04-28 10:30:00,"Cloudy",5,0,0,NA,"1","73.106421389251906","1435.7027457702",80,"grass+flax",5,0,0,0,0,0,0,100,0,0,1,"Three-leaved milfoil",0,17.8,10.2,107.7,142.7,168.119698397738,7.54,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,9,0,0,24,0,0,0,0.25,2.5,2.25,0,0,6,0,0,0,8.5,337.75,2,0,0,33.25,0,0,0,34,1351,8,NA,NA,133,NA,NA,NA,35,NA,NA,NA,NA,72.0833333333333,NA,NA,NA,34,229.833333333333,8,NA,NA,5.54166666666667,NA,NA,NA,1,10,9,NA,NA,24,NA,NA,NA,34,1351,8,NA,NA,133,NA,NA,NA,4,4,4,NA,NA,4,NA,NA,NA,35,NA,NA,NA,NA,42,NA,NA,NA,35,NA,NA,NA,NA,150,NA,NA,NA,34,14,8,NA,NA,1,NA,NA,NA,34,538,8,NA,NA,48,NA,NA,NA,4,25,1,0,0,1,1,1,0,0,0,0,NA,NA,NA,NA,NA,0,"After",2025-04-27,"10:30:00",2025,"Apr",28,"Autumn",1745793000,"1 Autumn",73.1064213892519,1435.7027457702,0.0683934448572954,0.0139304602285696,"Sandy",3,1,"2",1,3,6.24609738282403,0.00034383911757635,"New","complete"
