"site_id","monitoring_id","weed_type","species","scientific_name","native_status","percentage_cover"
3,"3_2","Turf",NA,NA,NA,0
4,"4_2","Emergent",NA,NA,NA,0
4,"4_2","Submerged",NA,NA,NA,0
4,"4_2","Turf",NA,NA,NA,0
5,"5_2","Emergent","Water_lilies","Nymphaea spp.","Non_Native",0
5,"5_2","Submerged","Hornwort","Ceratophyllum demersum","Non_Native",0
5,"5_2","Turf",NA,NA,NA,0
6,"6_2","Emergent","Raupō_(Bulrush)","Typha orientalis","Native",10
6,"6_2","Submerged",NA,NA,NA,0
6,"6_2","Turf",NA,NA,NA,0
7,"7_2","Emergent",NA,NA,NA,1
7,"7_2","Submerged","Red_luwigia","Ludwigia repens","Non_Native",5
7,"7_2","Turf","Turf_Gloss","Glossostigma","Native",40
8,"8_2","Emergent",NA,NA,NA,0
8,"8_2","Submerged","Red_luwigia","Ludwigia repens","Non_Native",10
8,"8_2","Turf","Turf_Gloss","Glossostigma","Native",10
9,"9_2","Emergent",NA,NA,NA,0
9,"9_2","Submerged",NA,NA,NA,0
9,"9_2","Turf","Turf_Gloss","Glossostigma","Native",10
10,"10_2","Emergent",NA,NA,NA,0
10,"10_2","Submerged",NA,NA,NA,0
10,"10_2","Turf",NA,NA,NA,0
11,"11_2","Emergent",NA,NA,NA,0
11,"11_2","Submerged",NA,NA,NA,0
11,"11_2","Turf",NA,NA,NA,0
12,"12_2","Emergent",NA,NA,NA,0
12,"12_2","Submerged",NA,NA,NA,0
12,"12_2","Turf",NA,NA,NA,0
13,"13_2","Emergent",NA,NA,NA,0
13,"13_2","Submerged",NA,NA,NA,0
13,"13_2","Turf",NA,NA,NA,0
14,"14_2","Emergent",NA,NA,NA,0
14,"14_2","Submerged",NA,NA,NA,0
14,"14_2","Turf","Turf_Gloss","Glossostigma","Native",20
15,"15_2","Emergent",NA,NA,NA,0
15,"15_2","Submerged",NA,NA,NA,0
15,"15_2","Turf",NA,NA,NA,0
16,"16_2","Emergent",NA,NA,NA,0
16,"16_2","Submerged",NA,NA,NA,0
16,"16_2","Turf",NA,NA,NA,0
17,"17_2","Emergent",NA,NA,NA,0
17,"17_2","Submerged",NA,NA,NA,0
17,"17_2","Turf",NA,NA,NA,0
18,"18_2","Emergent",NA,NA,NA,0
18,"18_2","Submerged",NA,NA,NA,0
18,"18_2","Turf",NA,NA,NA,0
19,"19_2","Emergent",NA,NA,NA,0
19,"19_2","Submerged",NA,NA,NA,0
19,"19_2","Turf",NA,NA,NA,0
20,"20_2","Emergent",NA,NA,NA,0
20,"20_2","Submerged",NA,NA,NA,0
20,"20_2","Turf",NA,NA,NA,0
1,"1_3","Emergent",NA,NA,NA,0
1,"1_3","Submerged",NA,NA,NA,0
1,"1_3","Turf",NA,NA,NA,0
2,"2_3","Emergent",NA,NA,NA,0
2,"2_3","Submerged",NA,NA,NA,0
2,"2_3","Turf",NA,NA,NA,0
3,"3_3","Emergent",NA,NA,NA,0
3,"3_3","Submerged",NA,NA,NA,0
3,"3_3","Turf",NA,NA,NA,0
4,"4_3","Emergent",NA,NA,NA,0
4,"4_3","Submerged",NA,NA,NA,0
4,"4_3","Turf",NA,NA,NA,0
5,"5_3","Emergent","Water_lilies","Nymphaea spp.","Non_Native",0
5,"5_3","Submerged","Hornwort","Ceratophyllum demersum","Non_Native",50
5,"5_3","Turf",NA,NA,NA,0
6,"6_3","Emergent","Raupō_(Bulrush)","Typha orientalis","Native",10
6,"6_3","Submerged",NA,NA,NA,70
6,"6_3","Turf",NA,NA,NA,0
7,"7_3","Emergent",NA,NA,NA,1
7,"7_3","Submerged","Red_luwigia","Ludwigia repens","Non_Native",5
7,"7_3","Turf","Turf_Gloss","Glossostigma","Native",40
8,"8_3","Emergent",NA,NA,NA,0
8,"8_3","Submerged","Red_luwigia","Ludwigia repens","Non_Native",10
8,"8_3","Turf","Turf_Gloss","Glossostigma","Native",10
9,"9_3","Emergent",NA,NA,NA,0
9,"9_3","Submerged",NA,NA,NA,0
9,"9_3","Turf","Turf_Gloss","Glossostigma","Native",10
10,"10_3","Emergent",NA,NA,NA,0
10,"10_3","Submerged",NA,NA,NA,0
10,"10_3","Turf",NA,NA,NA,0
11,"11_3","Emergent",NA,NA,NA,0
11,"11_3","Submerged",NA,NA,NA,0
11,"11_3","Turf",NA,NA,NA,0
12,"12_3","Emergent",NA,NA,NA,0
12,"12_3","Submerged",NA,NA,NA,0
12,"12_3","Turf",NA,NA,NA,0
13,"13_3","Emergent",NA,NA,NA,0
13,"13_3","Submerged",NA,NA,NA,0
13,"13_3","Turf",NA,NA,NA,0
14,"14_3","Emergent",NA,NA,NA,0
14,"14_3","Submerged",NA,NA,NA,0
14,"14_3","Turf","Turf_Gloss","Glossostigma","Native",20
15,"15_3","Emergent",NA,NA,NA,0
15,"15_3","Submerged",NA,NA,NA,0
15,"15_3","Turf",NA,NA,NA,0
16,"16_3","Emergent",NA,NA,NA,0
16,"16_3","Submerged",NA,NA,NA,0
16,"16_3","Turf",NA,NA,NA,0
17,"17_3","Emergent",NA,NA,NA,0
17,"17_3","Submerged",NA,NA,NA,0
17,"17_3","Turf",NA,NA,NA,0
18,"18_3","Emergent",NA,NA,NA,0
18,"18_3","Submerged",NA,NA,NA,0
18,"18_3","Turf",NA,NA,NA,0
19,"19_3","Emergent",NA,NA,NA,0
19,"19_3","Submerged",NA,NA,NA,0
19,"19_3","Turf",NA,NA,NA,0
20,"20_3","Emergent",NA,NA,NA,0
20,"20_3","Submerged",NA,NA,NA,0
20,"20_3","Turf",NA,NA,NA,0
1,"1_4","Emergent",NA,NA,NA,0
1,"1_4","Submerged",NA,NA,NA,0
1,"1_4","Turf",NA,NA,NA,0
2,"2_4","Emergent",NA,NA,NA,0
2,"2_4","Submerged",NA,NA,NA,0
2,"2_4","Turf",NA,NA,NA,0
3,"3_4","Emergent",NA,NA,NA,0
3,"3_4","Submerged",NA,NA,NA,0
3,"3_4","Turf",NA,NA,NA,0
4,"4_4","Emergent",NA,NA,NA,0
4,"4_4","Submerged",NA,NA,NA,0
4,"4_4","Turf",NA,NA,NA,0
5,"5_4","Emergent","Water_lilies","Nymphaea spp.","Non_Native",40
5,"5_4","Submerged","Hornwort","Ceratophyllum demersum","Non_Native",80
5,"5_4","Turf",NA,NA,NA,0
6,"6_4","Emergent","Raupō_(Bulrush)","Typha orientalis","Native",10
6,"6_4","Submerged",NA,NA,NA,0
6,"6_4","Turf",NA,NA,NA,0
7,"7_4","Emergent",NA,NA,NA,1
7,"7_4","Submerged","Red_luwigia","Ludwigia repens","Non_Native",5
7,"7_4","Turf","Turf_Gloss","Glossostigma","Native",40
8,"8_4","Emergent",NA,NA,NA,0
8,"8_4","Submerged","Red_luwigia","Ludwigia repens","Non_Native",10
8,"8_4","Turf","Turf_Gloss","Glossostigma","Native",10
9,"9_4","Emergent",NA,NA,NA,0
9,"9_4","Submerged",NA,NA,NA,0
9,"9_4","Turf","Turf_Gloss","Glossostigma","Native",10
10,"10_4","Emergent",NA,NA,NA,0
10,"10_4","Submerged",NA,NA,NA,0
10,"10_4","Turf",NA,NA,NA,0
11,"11_4","Emergent",NA,NA,NA,0
11,"11_4","Submerged",NA,NA,NA,0
11,"11_4","Turf",NA,NA,NA,0
12,"12_4","Emergent",NA,NA,NA,0
12,"12_4","Submerged",NA,NA,NA,0
12,"12_4","Turf",NA,NA,NA,0
13,"13_4","Emergent",NA,NA,NA,0
13,"13_4","Submerged",NA,NA,NA,0
13,"13_4","Turf",NA,NA,NA,0
14,"14_4","Emergent",NA,NA,NA,0
14,"14_4","Submerged",NA,NA,NA,0
14,"14_4","Turf","Turf_Gloss","Glossostigma","Native",20
15,"15_4","Emergent",NA,NA,NA,0
15,"15_4","Submerged",NA,NA,NA,0
